player_id,name,bucket,draft_year,draft_round,primary_position,current_org,cur_level_2026,age_at_snap,years_in_pro,p_TOP_100_PROSPECT,p_MLB_DEBUT,p_ESTABLISHED_MLB,p_STAR_PLUS_ELITE,time_to_debut,passes_filter,ebay_price_median,ebay_price_p25,ebay_n_listings,ebay_top_listing_url
draft_2025_cooper_flemming_r2p53,Cooper Flemming,R2-R3,2025.0,2.0,SS,Tampa Bay Rays,A,20.0,1,0.39644694,0.6828433,0.025067888,0.012040766,2.4946305183573543,True,49.99,47.495000000000005,7.0,https://www.ebay.com/itm/358558979675?_skw=%22Cooper+Flemming%22+1st+Bowman+Chrome+auto&hash=item537bc7d65b:g:zlgAAeSwQMdqByOE
ifa_694673,Abimelec Ortiz,IFA,,,1B,,AAA,24.0,5,0.0030958639,0.68183315,0.19856293,0.011608386,2.162777962819032,True,24.97,19.99,18.0,https://www.ebay.com/itm/168191063772?_skw=%22Abimelec+Ortiz%22+1st+Bowman+Chrome+auto&hash=item2728f7f6dc:g:50UAAeSwW1BpoS6W
ifa_815464,Lisbel Diaz,IFA,,,OF,,A+,21.0,3,0.17181045,0.68045515,0.24524698,0.0568248,2.619722871686716,True,24.995,18.575,4.0,https://www.ebay.com/itm/375745910437?_skw=%22Lisbel+Diaz%22+1st+Bowman+Chrome+auto&hash=item577c3396a5:g:23sAAOSwNtpnHwuy
ifa_821041,Roldy Brito,IFA,,,3B,,A,19.0,2,0.23569997,0.6762758,0.3047845,0.09253461,2.924847081343735,True,100.0,86.475,19.0,https://www.ebay.com/itm/366412017497?_skw=%22Roldy+Brito%22+1st+Bowman+Chrome+auto&hash=item554fdbaf59:g:1d0AAeSwcIBqB-hK
draft_2024_josh_hartle_r3p83,Josh Hartle,R2-R3,2024.0,3.0,LHP,Pittsburgh Pirates,AA,23.0,2,0.02288133,0.67594224,0.0045386343,0.0026117382,2.123704711282172,True,,,,
draft_2022_bryan_rincon_r14p422,Bryan Rincon,R10+,2022.0,14.0,SS,Philadelphia Phillies,AA,22.0,4,0.11773763,0.6758764,0.02527599,0.0067284876,2.003711255829195,True,15.0,13.575,3.0,https://www.ebay.com/itm/127698461909?_skw=%22Bryan+Rincon%22+1st+Bowman+Chrome+auto&hash=item1dbb6be4d5:g:3GQAAeSw9ZFpltV2
draft_2023_sean_sullivan_r2p46,Sean Sullivan,R2-R3,2023.0,2.0,LHP,Colorado Rockies,AAA,24.0,3,0.019671945,0.6700749,0.0062954626,0.005054322,1.4862050270348153,True,13.99,12.0,5.0,https://www.ebay.com/itm/397930059357?_skw=%22Sean+Sullivan%22+1st+Bowman+Chrome+auto&hash=item5ca67ad65d:g:IpYAAeSwPN5p~6f-
draft_2024_wyatt_sanford_r2p47,Wyatt Sanford,R2-R3,2024.0,2.0,SS,Pittsburgh Pirates,A+,21.0,2,0.21553534,0.6698937,0.019436799,0.008165153,2.294838508456089,True,187.0,66.2475,14.0,https://www.ebay.com/itm/188390331211?_skw=%22Wyatt+Sanford%22+1st+Bowman+Chrome+auto&hash=item2bdcf0534b:g:o5QAAeSwdJBqCL5-
draft_2023_jack_wenninger_r6p186,Jack Wenninger,R4-R10,2023.0,6.0,P,New York Mets,AAA,24.0,3,0.0037370638,0.6691792,0.005180347,0.0023775864,2.0458536818890893,True,105.0,105.0,1.0,https://www.ebay.com/itm/257505351789?_skw=%22Jack+Wenninger%22+1st+Bowman+Chrome+auto&hash=item3bf483d86d:g:66sAAeSwZPJqBU7N
draft_2023_jared_dickey_r11p319,Jared Dickey,R10+,2023.0,11.0,OF,Kansas City Royals,AAA,24.0,3,0.020021537,0.66850215,0.02941221,0.008855915,1.7295747618602666,True,12.445,9.6225,22.0,https://www.ebay.com/itm/298153672020?_skw=%22Jared+Dickey%22+1st+Bowman+Chrome+auto&hash=item456b57fd54:g:SQIAAeSwzkRpKQFE
draft_2025_taitn_gray_r3p86,Taitn Gray,R2-R3,2025.0,3.0,C,Tampa Bay Rays,A,19.0,1,0.4933773,0.6672325,0.034055058,0.008753982,1.9466804759185985,True,65.0,59.99,5.0,https://www.ebay.com/itm/257507033083?_skw=%22Taitn+Gray%22+1st+Bowman+Chrome+auto&hash=item3bf49d7ffb:g:zgAAAeSwZqJqBsP~
draft_2023_yohandy_morales_r2p40,Yohandy Morales,R2-R3,2023.0,2.0,3B,Washington Nationals,AAA,25.0,3,0.026579836,0.66409206,0.037898112,0.0077938843,1.3930828372835873,True,29.99,12.99,13.0,https://www.ebay.com/itm/127820377754?_skw=%22Yohandy+Morales%22+1st+Bowman+Chrome+auto&hash=item1dc2b02e9a:g:9LQAAeSwnxZp5jKN
draft_2025_devin_taylor_r2p48,Devin Taylor,R2-R3,2025.0,2.0,OF,Sacramento Athletics,A+,22.0,1,0.121943496,0.6638429,0.011214615,0.004526693,2.155177553242797,True,38.99,29.99,26.0,https://www.ebay.com/itm/137260402472?_skw=%22Devin+Taylor%22+1st+Bowman+Chrome+auto&hash=item1ff55b8728:g:rb8AAeSwzX1piPWt
draft_2023_drue_hackenberg_r2p59,Drue Hackenberg,R2-R3,2023.0,2.0,RHP,Atlanta Braves,AA,24.0,3,0.019671945,0.66382307,0.0062954626,0.005054322,1.5245642629427787,True,19.99,19.615,6.0,https://www.ebay.com/itm/277233719042?_skw=%22Drue+Hackenberg%22+1st+Bowman+Chrome+auto&hash=item408c6ad702:g:5hUAAeSwI8xoXB9H
draft_2025_miguel_sime_jr_r4p111,Miguel Sime Jr.,R4-R10,2025.0,4.0,RHP,Washington Nationals,A+,19.0,1,0.39667708,0.66371346,0.024339054,0.01224082,2.601220937953803,True,39.99,36.495000000000005,7.0,https://www.ebay.com/itm/318308616430?_skw=%22Miguel+Sime%22+1st+Bowman+Chrome+auto&hash=item4a1cac08ee:g:jwcAAeSweFVqB2yV
draft_2023_andrew_pinckney_r4p102,Andrew Pinckney,R4-R10,2023.0,4.0,OF,Washington Nationals,AAA,26.0,3,0.0024900471,0.6616184,0.009670582,0.0011016857,1.8889368938083935,True,17.99,14.99,17.0,https://www.ebay.com/itm/117103990083?_skw=%22Andrew+Pinckney%22+1st+Bowman+Chrome+auto&hash=item1b43f11543:g:tX8AAeSwUMZpwYFu
draft_2025_anthony_eyanson_r3p87,Anthony Eyanson,R2-R3,2025.0,3.0,RHP,Boston Red Sox,AA,22.0,1,0.08969203,0.6579403,0.010603734,0.0042609693,2.0876179022817434,True,187.0,156.0,2.0,https://www.ebay.com/itm/358540488598?_skw=%22Anthony+Eyanson%22+1st+Bowman+Chrome+auto&hash=item537aadaf96:g:q28AAeSw6YdqAKEX
draft_2024_gage_ziehl_r4p119,Gage Ziehl,R4-R10,2024.0,4.0,RHP,New York Yankees,AA,23.0,2,0.07016723,0.65640837,0.009845993,0.003355038,2.1344275109621957,True,14.99,11.49,7.0,https://www.ebay.com/itm/157890594922?_skw=%22Gage+Ziehl%22+1st+Bowman+Chrome+auto&hash=item24c303486a:g:POAAAeSwFU1p-9fY
draft_2024_zach_ehrhard_r4p115,Zach Ehrhard,R4-R10,2024.0,4.0,OF,Boston Red Sox,AAA,23.0,2,0.11110805,0.65592605,0.013817088,0.0039986125,1.7583196460945403,True,,,,
draft_2021_lonnie_white_jr_r2p64,Lonnie White Jr.,R2-R3,2021.0,2.0,OF,Pittsburgh Pirates,AA,24.0,5,0.0024463104,0.65574014,0.0024545535,0.0006575042,1.609465685612741,True,35.99,19.77,11.0,https://www.ebay.com/itm/116796277143?_skw=%22Lonnie+White%22+1st+Bowman+Chrome+auto&hash=item1b3199c197:g:W68AAeSwnJto1SGP
ifa_692348,Aeverson Arteaga,IFA,,,SS,,AAA,23.0,5,0.007492326,0.65539575,0.20882633,0.017532047,2.5967683386931544,True,89.99,25.0,20.0,https://www.ebay.com/itm/356949148740?_skw=%22Aeverson+Arteaga%22+1st+Bowman+Chrome+auto&hash=item531bd3c444:g:2ZYAAeSwo6VoL7U4
draft_2021_james_triantos_r2p56,James Triantos,R2-R3,2021.0,2.0,3B,Chicago Cubs,AAA,23.0,5,0.08569581,0.6539126,0.033543486,0.0053445534,1.375106509811452,True,73.0,37.25,16.0,https://www.ebay.com/itm/335559949595?_skw=%22James+Triantos%22+1st+Bowman+Chrome+auto&hash=item4e20ee7d1b:g:hLAAAOSwWOJm1w58
draft_2024_brooks_caple_r9p272,Brooks Caple,R4-R10,2024.0,9.0,RHP,Chicago Cubs,AA,24.0,2,0.0058209943,0.64960724,0.0048454856,0.0034642776,2.132491526412611,True,,,,
draft_2024_eli_jones_r7p218,Eli Jones,R4-R10,2024.0,7.0,RHP,Minnesota Twins,AA,23.0,2,0.025668792,0.64232177,0.0039179265,0.0034174172,2.4266031336944054,True,,,,
ifa_806611,Jancel Villarroel,IFA,,,C,,A+,21.0,4,0.07867803,0.6419963,0.21731965,0.05223656,2.4209427178138174,True,8.0,6.49,15.0,https://www.ebay.com/itm/277803328355?_skw=%22Jancel+Villarroel%22+1st+Bowman+Chrome+auto&hash=item40ae5e6363:g:f3gAAeSwBf9ptYhY
draft_2024_gage_miller_r3p92,Gage Miller,R2-R3,2024.0,3.0,2B,Miami Marlins,AAA,23.0,2,0.07077503,0.6412006,0.008691391,0.0033668862,1.7959746326139654,True,7.99,5.0,29.0,https://www.ebay.com/itm/116542419270?_skw=%22Gage+Miller%22+1st+Bowman+Chrome+auto&hash=item1b22783146:g:mJoAAeSw2INn6ssj
draft_2025_tanner_franklin_r2p72,Tanner Franklin,R2-R3,2025.0,2.0,RHP,St. Louis Cardinals,A+,22.0,1,0.12963383,0.63979423,0.010333047,0.0046874634,2.4760190888791005,True,40.0,35.0,13.0,https://www.ebay.com/itm/117185909195?_skw=%22Tanner+Franklin%22+1st+Bowman+Chrome+auto&hash=item1b48d311cb:g:1BgAAeSwdJBp~lgE
ifa_808129,Juan Flores,IFA,,,C,,A+,20.0,3,0.089854695,0.63891643,0.20375662,0.049552888,2.5988399037020944,True,16.5,15.0,6.0,https://www.ebay.com/itm/358557202469?_skw=%22Juan+Flores%22+1st+Bowman+Chrome+auto&hash=item537bacb825:g:hhIAAeSwmT1qBnZ5
draft_2023_will_sanders_r4p113,Will Sanders,R4-R10,2023.0,4.0,RHP,Chicago Cubs,AAA,24.0,3,0.004461642,0.6360403,0.0042605163,0.0025378827,2.139944058749398,True,,,,
draft_2024_cole_mathis_r2p54,Cole Mathis,R2-R3,2024.0,2.0,3B,Chicago Cubs,A+,23.0,2,0.055599194,0.6349242,0.009613319,0.0026818146,2.3601445779060795,True,29.495,21.625,18.0,https://www.ebay.com/itm/188016877674?_skw=%22Cole+Mathis%22+1st+Bowman+Chrome+auto&hash=item2bc6ade06a:g:6YIAAeSwyOJpgBNF
ifa_801523,Chris Suero,IFA,,,C,,AA,22.0,4,0.02273103,0.6332589,0.20485973,0.039766364,2.297039990247757,True,,,,
draft_2023_ty_johnson_r15p446,Ty Johnson,R10+,2023.0,15.0,P,Chicago Cubs,AAA,25.0,3,0.0038434546,0.6327265,0.008291288,0.00234871,2.0991733905525116,True,,,,
draft_2023_owen_wild_r7p213,Owen Wild,R4-R10,2023.0,7.0,P,Tampa Bay Rays,AAA,24.0,3,0.009458119,0.63014543,0.006195168,0.004403674,1.6999547195472104,True,,,,
draft_2022_blake_burkhalter_r2p76,Blake Burkhalter,R2-R3,2022.0,2.0,RHP,Atlanta Braves,A+,26.0,4,0.0021212273,0.62998915,0.004169692,0.00085465173,1.4028929366533553,True,46.995,38.4925,2.0,https://www.ebay.com/itm/405166955228?_skw=%22Blake+Burkhalter%22+1st+Bowman+Chrome+auto&hash=item5e55d51adc:g:KncAAOSwYH5lnFWI
draft_2023_patrick_reilly_r5p140,Patrick Reilly,R4-R10,2023.0,5.0,RHP,Pittsburgh Pirates,NONE,25.0,3,0.0014184363,0.6235552,0.0032658456,0.0005100736,2.099455901625853,True,,,,
draft_2023_alonzo_tredwell_r2p61,Alonzo Tredwell,R2-R3,2023.0,2.0,RHP,Houston Astros,NONE,24.0,3,0.00898157,0.62343925,0.0034036443,0.0013337091,1.7953493176221207,True,,,,
draft_2025_anthony_depino_r7p196,Anthony DePino,R4-R10,2025.0,7.0,3B,Chicago White Sox,AA,23.0,1,0.031082932,0.6226646,0.005353857,0.0046043834,2.401480220565178,True,,,,
draft_2023_matt_wilkinson_r10p308,Matt Wilkinson,R4-R10,2023.0,10.0,P,Cleveland Guardians,AAA,24.0,3,0.007840729,0.62129,0.011580501,0.004633451,1.7806178405468671,True,37.495000000000005,25.0,8.0,https://www.ebay.com/itm/168375620224?_skw=%22Matt+Wilkinson%22+1st+Bowman+Chrome+auto&hash=item2733f81280:g:y18AAeSw~WhqBh5Y
draft_2024_jared_thomas_r2p42,Jared Thomas,R2-R3,2024.0,2.0,OF,Colorado Rockies,NONE,23.0,2,0.031818714,0.6205879,0.0036046065,0.0017530065,1.7967766192509005,True,49.99,27.495,15.0,https://www.ebay.com/itm/205509009013?_skw=%22Jared+Thomas%22+1st+Bowman+Chrome+auto&hash=item2fd94a9e75:g:sfIAAeSwBaFoMr20
ifa_829058,Gabriel Davalillo,IFA,,,C,,A,19.0,1,0.17721511,0.6202291,0.20262083,0.0684247,2.878562698980953,True,25.0,24.96,22.0,https://www.ebay.com/itm/168374806555?_skw=%22Gabriel+Davalillo%22+1st+Bowman+Chrome+auto&hash=item2733eba81b:g:n5QAAeSw7IlqBbPL
draft_2024_daniel_eagen_r3p102,Daniel Eagen,R2-R3,2024.0,3.0,RHP,Arizona Diamondbacks,AA,24.0,2,0.0054606055,0.618548,0.0035710486,0.0016351942,2.0840156457255548,True,24.99,19.99,15.0,https://www.ebay.com/itm/168287825648?_skw=%22Daniel+Eagen%22+1st+Bowman+Chrome+auto&hash=item272ebc6ef0:g:~UwAAeSwyZRp0gIU
draft_2021_ben_malgeri_r18p525,Ben Malgeri,R10+,2021.0,18.0,OF,Detroit Tigers,AAA,26.0,5,0.0011057173,0.61764514,0.003852978,0.00046305842,1.2637432256948753,True,,,,
draft_2025_jackson_steensma_r9p272,Jackson Steensma,R4-R10,2025.0,9.0,RHP,Seattle Mariners,A,22.0,1,0.09051963,0.61668766,0.008464576,0.004392105,2.455961422564015,True,,,,
draft_2023_matthew_etzel_r10p301,Matthew Etzel,R4-R10,2023.0,10.0,P,Baltimore Orioles,AAA,24.0,3,0.0025381409,0.61645705,0.00283182,0.0010682005,2.0523399876737765,True,5.88,4.99,45.0,https://www.ebay.com/itm/406914439888?_skw=%22Matthew+Etzel%22+1st+Bowman+Chrome+auto&hash=item5ebdfd9ad0:g:5a8AAeSwkxVp~pj7
draft_2023_ethan_pecko_r6p194,Ethan Pecko,R4-R10,2023.0,6.0,P,Houston Astros,AAA,24.0,3,0.0034084723,0.6152124,0.0054201763,0.002932349,2.1015835389540545,True,25.0,19.99,17.0,https://www.ebay.com/itm/206278959840?_skw=%22Ethan+Pecko%22+1st+Bowman+Chrome+auto&hash=item30072f22e0:g:eZoAAeSwmc1qCLw1
draft_2023_cam_minacci_r6p174,Cam Minacci,R4-R10,2023.0,6.0,P,Los Angeles Angels,AA,24.0,3,0.003435244,0.6143551,0.0054993215,0.0031499744,2.167480128575603,True,,,,
draft_2025_eric_snow_r6p172,Eric Snow,R4-R10,2025.0,6.0,SS,Toronto Blue Jays,AA,22.0,1,0.036097728,0.6138352,0.005307856,0.006708653,2.443953792506343,True,,,,
ifa_700164,Bryant Betancourt,IFA,,,C,,AAA,23.0,5,0.0050872797,0.60888344,0.14521499,0.010920488,2.785776036453358,True,7.71,4.99,30.0,https://www.ebay.com/itm/336571225307?_skw=%22Bryant+Betancourt%22+1st+Bowman+Chrome+auto&hash=item4e5d3554db:g:6tUAAeSwM~Rp-5Cd
draft_2023_garret_forrester_r3p73,Garret Forrester,R2-R3,2023.0,3.0,3B,Pittsburgh Pirates,AAA,25.0,3,0.001952915,0.60760087,0.0022380946,0.00095661654,2.104886450876993,True,7.73,5.95,33.0,https://www.ebay.com/itm/116782071168?_skw=%22Garret+Forrester%22+1st+Bowman+Chrome+auto&hash=item1b30c0fd80:g:5gkAAeSwGQJoyP~B
draft_2025_gabe_davis_r5p137,Gabe Davis,R4-R10,2025.0,5.0,RHP,Chicago White Sox,AA,23.0,1,0.07837827,0.604894,0.0077679977,0.0017231937,2.015924359956457,True,,,,
draft_2024_aj_causey_r5p138,A.J. Causey,R4-R10,2024.0,5.0,RHP,Kansas City Royals,AA,24.0,2,0.0049811355,0.60455793,0.00446859,0.002593307,2.1572268655904305,True,,,,
draft_2024_charlie_beilenson_r5p154,Charlie Beilenson,R4-R10,2024.0,5.0,RHP,Seattle Mariners,AA,27.0,2,0.0034696301,0.6032549,0.008231624,0.0010609112,1.8581386593062725,True,2.49,2.49,1.0,https://www.ebay.com/itm/167508766365?_skw=%22Charlie+Beilenson%22+1st+Bowman+Chrome+auto&hash=item27004cee9d:g:U7sAAOSwzXtoIaO4
draft_2024_billy_amick_r2p60,Billy Amick,R2-R3,2024.0,2.0,3B,Minnesota Twins,AA,24.0,2,0.0071659633,0.6003726,0.0034644355,0.0015742615,2.278579727199373,True,24.995,19.99,24.0,https://www.ebay.com/itm/205907260600?_skw=%22Billy+Amick%22+1st+Bowman+Chrome+auto&hash=item2ff10774b8:g:iOUAAeSw3ptoiAUg
ifa_699114,Leo Balcazar,IFA,,,SS,,AA,22.0,5,0.0069616553,0.600067,0.1746472,0.011473403,3.052427582154104,True,29.99,29.99,1.0,https://www.ebay.com/itm/358448282089?_skw=%22Leo+Balcazar%22+1st+Bowman+Chrome+auto&hash=item53752eb9e9:g:nA0AAeSw9cNp3ybG
